batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
6.441162,6.899508,6.957265,6.517439,7.044104,6.739074,6.81963,7.081719
6.376833,6.891984,6.867931,6.504228,7.005722,6.748974,7.093082,7.044261
6.35415,6.914355,6.9624,6.528065,6.978878,6.777303,6.892034,7.013413
6.328378,6.880134,6.970993,6.487888,6.962426,6.74392,6.809478,6.999701
6.357433,6.855129,6.900958,6.46083,6.969864,6.771422,6.781443,7.009321
6.321188,6.845077,6.81639,6.453071,6.958675,6.675119,6.876071,6.994704
6.283852,6.831224,6.842941,6.430913,6.930801,6.6583,6.75222,6.970989
6.29933,6.881996,6.853876,6.479122,6.945637,6.620585,6.81649,6.97793
6.259878,6.845414,6.776909,6.439944,6.911966,6.714361,6.857149,6.950581
6.246132,6.813233,6.725789,6.4165,6.879793,6.715237,6.68936,6.919924
6.244972,6.794613,6.770492,6.390722,6.901172,6.586218,6.805532,6.93761
6.226304,6.79215,6.78722,6.385859,6.889236,6.610188,6.789207,6.925209
6.247291,6.748951,6.696136,6.344069,6.903285,6.640237,6.851557,6.937077
6.242206,6.768415,6.718951,6.369568,6.912805,6.654245,6.788978,6.948978
6.298777,6.743818,6.729137,6.341996,6.941339,6.667191,6.829028,6.976908
6.239632,6.734274,6.767967,6.329458,6.896508,6.572463,6.68797,6.936691
6.206456,6.685485,6.758022,6.277336,6.897532,6.643413,6.782151,6.932242
6.200703,6.762943,6.713719,6.373967,6.87715,6.609752,6.497702,6.92052
6.188207,6.70385,6.794734,6.290197,6.848033,6.571342,6.73595,6.882752
6.192829,6.704885,6.699464,6.297403,6.874039,6.577519,6.612699,6.906489
6.193671,6.713395,6.641833,6.307643,6.879208,6.53742,6.71647,6.915715
6.10335,6.665125,6.771447,6.253382,6.816058,6.421498,6.683012,6.858347
6.198912,6.682561,6.614432,6.271888,6.875232,6.564775,6.584607,6.913693
6.147611,6.677458,6.753883,6.264129,6.828658,6.467621,6.709732,6.869003
6.163881,6.647502,6.582948,6.216703,6.85753,6.515378,6.698821,6.891808
6.101637,6.608088,6.597827,6.189988,6.789753,6.497368,6.715513,6.829431
6.118423,6.642118,6.615168,6.227872,6.776459,6.521626,6.641371,6.812276
6.120637,6.627719,6.556524,6.221578,6.803489,6.456968,6.505219,6.841004
6.096529,6.609216,6.601139,6.182704,6.81636,6.398005,6.577442,6.854689
6.013087,6.585011,6.62805,6.167991,6.705847,6.441301,6.505341,6.741296
6.116516,6.602928,6.578792,6.193927,6.802407,6.399954,6.670836,6.842025
6.049283,6.585884,6.584817,6.180267,6.736906,6.434996,6.491402,6.773329
6.078167,6.576711,6.494853,6.140671,6.788453,6.48025,6.709168,6.826735
6.017505,6.534638,6.665213,6.104136,6.739308,6.32374,6.701904,6.78056
6.023951,6.549855,6.532788,6.13897,6.760978,6.28222,6.540403,6.797302
6.019279,6.530248,6.677209,6.13257,6.73064,6.329498,6.53469,6.770335
6.02027,6.526679,6.631686,6.107269,6.727159,6.356528,6.43017,6.76658
5.967974,6.53042,6.351751,6.164483,6.697954,6.393329,6.472054,6.741785
6.058298,6.529661,6.527377,6.153124,6.741658,6.296233,6.572716,6.780302
5.983212,6.493933,6.506885,6.112075,6.701796,6.264722,6.482408,6.740568
5.979055,6.525062,6.556947,6.131644,6.702234,6.314153,6.594398,6.742733
5.969895,6.48957,6.477446,6.092881,6.681654,6.293951,6.564534,6.720818
5.84763,6.474133,6.51282,6.07737,6.566757,6.320766,6.44079,6.599345
5.989408,6.484647,6.339582,6.069789,6.705265,6.279623,6.335472,6.733679
5.947721,6.437546,6.362582,6.026357,6.665687,6.264034,6.536079,6.703414
5.926581,6.45779,6.414464,6.044436,6.649178,6.38172,6.501257,6.684851
5.945268,6.450183,6.436407,6.050543,6.64643,6.279032,6.560704,6.688552
5.935084,6.404326,6.41711,5.999324,6.66335,6.273194,6.596419,6.701047
5.831163,6.446408,6.425803,6.04288,6.584448,6.338604,6.502714,6.625466
5.859773,6.391139,6.465777,5.97311,6.58401,6.289503,6.593139,6.620076
5.944527,6.393012,6.402805,5.964489,6.651643,6.26501,6.51675,6.685076
5.884948,6.392701,6.386502,5.980586,6.630714,6.28178,6.332685,6.673775
5.87814,6.417444,6.406479,6.002383,6.598602,6.233407,6.409718,6.64029
5.876898,6.432876,6.4254,6.017101,6.595439,6.210945,6.32534,6.634959
5.868396,6.398944,6.282132,5.980433,6.619685,6.119292,6.41719,6.65752
5.884923,6.355656,6.42023,5.925285,6.622286,6.244966,6.427515,6.66245
5.898975,6.356078,6.394518,5.926249,6.635137,6.144047,6.34188,6.669632
5.837319,6.324642,6.330645,5.899203,6.61031,6.214169,6.441602,6.654743
5.848906,6.308259,6.209456,5.87164,6.57744,6.108969,6.446363,6.617166
5.871469,6.354614,6.276664,5.954174,6.583477,6.183942,6.42739,6.629484
5.805958,6.318025,6.375229,5.892337,6.54237,6.110744,6.456983,6.573261
5.85173,6.303206,6.233497,5.873665,6.59021,6.134416,6.451432,6.627347
5.79192,6.333453,6.228258,5.908731,6.534369,6.133798,6.471611,6.574634
5.787248,6.297241,6.299261,5.872007,6.535579,6.152621,6.285367,6.579169
5.731405,6.326825,6.263168,5.914429,6.491449,6.186206,6.303545,6.545916
5.806155,6.272168,6.315033,5.838572,6.566928,6.114855,6.361389,6.606838
5.776538,6.32142,6.213102,5.886149,6.557589,6.055873,6.26767,6.606535
5.699182,6.264677,6.348518,5.829305,6.480726,6.123312,6.404442,6.513873
5.750899,6.286675,6.187923,5.851089,6.517494,6.107031,6.343698,6.558179
5.759032,6.255135,6.289566,5.815287,6.521599,6.061008,6.145746,6.562568
5.724783,6.274523,6.212818,5.844705,6.480861,6.015352,6.306288,6.523713
5.738735,6.240429,6.204597,5.79845,6.491303,6.137017,6.301006,6.53107
5.769542,6.25987,6.139956,5.824158,6.533242,6.060784,6.331825,6.576465
5.743886,6.244832,6.261282,5.795056,6.490169,6.057009,6.225935,6.529788
5.691392,6.240435,6.11544,5.796649,6.479064,6.040182,6.408229,6.522583
5.701118,6.209869,6.23821,5.74778,6.46345,6.020999,6.326214,6.497816
5.662894,6.223307,6.175971,5.78159,6.435139,5.976909,6.279321,6.479739
5.668468,6.205774,6.264029,5.755504,6.438424,5.986688,6.237863,6.476056
5.68334,6.191434,6.172438,5.767299,6.459676,6.03622,6.323984,6.503627
5.692556,6.200965,6.263041,5.775965,6.454071,6.054157,6.316752,6.500007
5.671106,6.181159,6.226758,5.7313,6.449314,5.992878,6.159868,6.49193
5.701279,6.173445,6.149923,5.724505,6.472107,5.974397,6.322175,6.50909
5.650607,6.173825,6.249979,5.728689,6.417608,6.050495,6.239074,6.458526
5.615823,6.159288,6.09248,5.724615,6.401384,5.998769,6.380596,6.43712
5.666893,6.143977,6.136277,5.684001,6.434744,5.898093,6.222293,6.475583
